nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Emilly Isabella Gomes;59;614.071.658-60;18.837.892-3;03/10/1965;Feminino;Libra;Luzia Sara;Osvaldo Heitor Heitor Gomes;emillyisabellagomes@hersa.com.br;0BoePo4KsX;52070-450;Rua Urussanga;764;Casa Amarela;Recife;PE;(81) 3664-5606;(81) 98350-1707;1,71;57;B+;preto
Emilly Sophia Costa;28;036.008.713-23;32.469.757-0;18/09/1996;Feminino;Virgem;Vanessa Betina;Lucca Luan Costa;emillysophiacosta@meiryjoias.com.br;hA4e4tSkaa;78115-884;Rua Presidente Tancredo Neves;766;Ponte Nova;Varzea Grande;MT;(65) 3724-9268;(65) 99321-2356;1,72;56;A-;roxo
Enzo Severino Breno da Luz;23;289.860.745-24;36.732.048-4;08/05/2001;Masculino;Touro;Renata Valentina Nicole;Renan Giovanni Matheus da Luz;enzoseverinodaluz@impactatp.com.br;kj3mURQyj7;19907-390;Rua Horacio Berlink;466;Jardim Bela Vista;Ourinhos;SP;(14) 3804-3879;(14) 99616-4823;1,7;65;A-;azul
Ester Daiane Assis;31;418.936.695-13;26.494.658-3;20/09/1993;Feminino;Virgem;Kamilly Brenda Luciana;Fabio Thales Diogo Assis;ester_daiane_assis@rebecacometerra.com.br;9oPQ71UfoF;70655-775;Quadra SHCES Quadra 707 Bloco E;276;Cruzeiro Novo;Brasilia;DF;(61) 3696-9360;(61) 98619-5380;1,7;48;A+;verde
Ester Emanuelly Brito;71;435.939.531-02;34.707.679-8;22/05/1953;Feminino;Gemeos;Simone Alessandra;Nelson Luan Brito;ester.emanuelly.brito@emerson.com;J6jP0WHlEk;29194-323;Rua 28 de Outubro;821;Limao;Aracruz;ES;(27) 2596-4121;(27) 98331-8244;1,68;68;AB+;verde
Ester Laura Ayla Silva;66;537.774.242-77;21.359.618-0;13/07/1958;Feminino;Cancer;Eliane Heloise Antonella;Caue Joao Silva;esterlaurasilva@projetti.com;TclCDa1sPF;57307-780;Rua Manoel Pedro de Lima;703;Jardim Esperanca;Arapiraca;AL;(82) 2956-6805;(82) 98958-6861;1,67;77;B+;amarelo
Ester Patricia Lopes;65;165.408.846-30;35.334.473-4;08/10/1959;Feminino;Libra;Analu Carolina Lara;Ruan Raimundo Breno Lopes;esterpatricialopes@vlcorporate.com;5d16Tfy9Wx;95060-357;Rua Luiz Zanrosso;593;Ana Rech;Caxias do Sul;RS;(54) 3503-5251;(54) 99406-9595;1,74;65;B+;amarelo
Esther Maya Santos;60;976.560.872-14;21.224.080-8;08/10/1964;Feminino;Libra;Julia Catarina;Fabio Yago Alexandre Santos;esthermayasantos@danielvasconcelos.com.br;gzOYArfQHe;69312-305;Avenida Nossa Senhora de Nazare;741;Asa Branca;Boa Vista;RR;(95) 3954-6391;(95) 98244-6536;1,63;76;A+;azul
Esther Tereza Rodrigues;74;991.657.766-82;49.297.800-1;01/03/1950;Feminino;Peixes;Sara Tania;Jorge Arthur Rodrigues;estherterezarodrigues@granvale.com.br;u1AmoFSS9m;64040-450;Rua Sao Roque;874;Angelim;Teresina;PI;(86) 3706-3643;(86) 99262-3080;1,67;79;A+;preto
Evelyn Emilly Lima;30;210.097.248-00;33.266.826-5;02/10/1994;Feminino;Libra;Raimunda Isadora;Thiago Joao Lucca Lima;evelyn-lima87@uol.com;4RbWbsJi52;77022-414;Quadra 706 Sul Avenida LO 19;747;Plano Diretor Sul;Palmas;TO;(63) 2736-8912;(63) 98834-4099;1,75;82;B+;azul
Evelyn Marcia Pinto;53;535.859.772-78;22.990.350-2;22/05/1971;Feminino;Gemeos;Sonia Jennifer Lucia;Enzo Elias Antonio Pinto;evelyn-pinto91@bplan.com.br;FUF6WYegaf;68928-313;Avenida Brasil;994;Fonte Nova;Santana;AP;(96) 3733-8770;(96) 99165-2712;1,61;82;AB+;vermelho
Fabio Osvaldo Silveira;52;288.404.945-29;33.274.437-1;08/01/1972;Masculino;Capricornio;Elza Mirella;Juan Leonardo Elias Silveira;fabioosvaldosilveira@gaviola.com;CKqoQwI4cg;29703-150;Rua Cearense;694;Sao Silvano;Colatina;ES;(27) 3736-0214;(27) 98291-3869;1,81;110;A-;laranja
Fabio Ruan Nathan Rodrigues;63;792.012.851-08;29.039.539-2;26/01/1961;Masculino;Aquario;Mirella Benedita Emily;Emanuel Martin Rodrigues;fabioruanrodrigues@microdoc.com.br;St0ZB2Og0b;73750-092;Quadra 5 MR 11;415;Setor Oeste;Planaltina;GO;(61) 2514-4502;(61) 98654-0765;1,84;53;B+;roxo
Fernanda Lara Novaes;47;588.926.630-62;34.545.085-1;26/09/1977;Feminino;Libra;Vanessa Helena;Alexandre Cesar Diogo Novaes;fernanda-novaes75@vmetaiscba.com.br;jIi5CePlFX;48602-490;Avenida Landulfo Alves;740;Centro;Paulo Afonso;BA;(75) 2777-7862;(75) 98481-8637;1,67;76;A+;azul
Fernanda Nair da Paz;56;876.846.284-02;41.106.381-9;08/10/1968;Feminino;Libra;Eduarda Vera;Ruan Vinicius da Paz;fernanda_dapaz@monetto.com.br;uP4piMcEKm;72549-550;Setor Polo de Desenvolvimento Juscelino Kubitschek Trecho 1 Conjunto 10;879;Santa Maria;Brasilia;DF;(61) 3813-9894;(61) 99804-8659;1,6;69;B+;preto
Fernando Benjamin dos Santos;33;411.239.907-35;21.481.008-2;04/10/1991;Masculino;Libra;Melissa Maria Leticia;Manuel Jose Diogo dos Santos;fernando_benjamin_dossantos@acaocontabilsjc.com.br;PJAwjK9bAJ;89809-600;Rua Palmitos;310;Efapi;Chapeco;SC;(49) 3981-4921;(49) 99101-6074;1,63;110;B-;roxo
Fernando Caio Barros;69;797.909.515-40;46.223.953-6;20/03/1955;Masculino;Peixes;Carolina Ayla;Caleb Leonardo Barros;fernando_barros@grupoitamaraty.com.br;6EcyxhbKzn;79035-555;Rua Itambe;381;Parque dos Novos Estados;Campo Grande;MS;(67) 2572-6973;(67) 98771-1080;1,75;59;B+;verde
Fernando Carlos da Mota;21;515.634.257-42;10.982.282-1;12/03/2003;Masculino;Peixes;Isabela Mariane;Yago Roberto Joaquim da Mota;fernando-damota72@cerimoniallis.com.br;nrCQTWj22j;26295-000;Rua da Igreja;395;Marapicu;Nova Iguacu;RJ;(21) 2695-9683;(21) 98317-2489;1,7;71;A+;laranja
Fernando Nathan Enrico Brito;53;952.563.999-18;43.055.194-0;23/04/1971;Masculino;Touro;Juliana Luiza Sebastiana;Andre Danilo Brito;fernando-brito83@fortlar.com.br;E4oM02MEEk;66840-660;Alameda Fidelis;350;Sao Joao do Outeiro (Outeiro);Belem;PA;(91) 2741-7998;(91) 98792-1127;1,65;104;O-;verde
Flavia Aparecida Vanessa Figueiredo;71;157.759.990-02;45.487.664-6;09/04/1953;Feminino;aries;Teresinha Lais Leticia;Thales Samuel Figueiredo;flaviaaparecidafigueiredo@danielstrauch.com;a9RZzi8Oxt;70658-457;Quadra SHCES Quadra 1405 Bloco G;566;Cruzeiro Novo;Brasilia;DF;(61) 3558-3310;(61) 98716-2281;1,53;49;AB-;vermelho
Flavia Brenda Rosa Martins;72;023.359.161-30;11.388.299-3;05/08/1952;Feminino;Leao;Catarina Francisca Daniela;Theo Lucas Martins;flavia_martins@aclnet.com.br;ZNskzsW9jB;38412-532;Rua Coxim;218;Bela Vista;Uberlandia;MG;(34) 2591-6343;(34) 98384-6636;1,79;85;O-;preto
Flavia Sueli Jessica Jesus;32;422.140.078-14;23.840.927-2;24/07/1992;Feminino;Leao;Caroline Pietra;Lucas Kaique Lorenzo Jesus;flavia_jesus@kimmay.com.br;llL6aNIa2o;69903-006;Rua Edmundo Pinto;511;Conjunto Xavier Maia;Rio Branco;AC;(68) 3776-6928;(68) 99144-6013;1,69;90;B-;roxo
Francisca Flavia Malu Drumond;67;205.536.098-15;23.788.310-7;01/08/1957;Feminino;Leao;Marlene Sabrina Gabriela;Ricardo Renato Sebastiao Drumond;francisca_drumond@evolink.com.br;IYcJpAgw2p;64063-770;Rua Clovis Firmeza;961;Socopo;Teresina;PI;(86) 2886-0645;(86) 98546-6262;1,79;81;A-;verde
Francisca Lorena Raimunda Moreira;43;891.727.326-28;27.925.020-4;22/05/1981;Feminino;Gemeos;Betina Rita Maite;Daniel Fabio Moreira;franciscalorenamoreira@proshock.com.br;7OLZ6F8Y5k;77804-090;Rua Santa Cruz;753;Setor Central;Araguaina;TO;(63) 2946-3592;(63) 98585-4263;1,71;68;A-;verde
Francisco Diogo Silva;51;400.479.369-67;43.423.488-6;27/01/1973;Masculino;Aquario;Alice Cecilia;Otavio Caue Silva;franciscodiogosilva@moyageorges.com.br;bGlGeXlWwK;76963-639;Avenida Dois de Junho;548;Jardim Clodoaldo;Cacoal;RO;(69) 3958-9914;(69) 98143-4971;1,77;72;A+;vermelho
Francisco Otavio da Luz;51;617.742.546-11;26.113.005-5;26/03/1973;Masculino;aries;Sara Alicia;Elias Heitor Marcos da Luz;francisco.otavio.daluz@centerdiesel.com.br;Pf48Z6qEUa;45002-075;Rua Candido Flores;821;Guarani;Vitoria da Conquista;BA;(77) 3826-2180;(77) 98625-8203;1,86;103;A-;verde
Gabriel Julio Goncalves;28;787.259.417-04;46.580.368-4;07/02/1996;Masculino;Aquario;Luzia Eloa Milena;Ryan Fabio Nelson Goncalves;gabriel-goncalves73@editorazap.com.br;ZdgH9wk4P6;76808-574;Rua das Mangueiras;924;Eletronorte;Porto Velho;RO;(69) 2706-9454;(69) 99880-9087;1,81;81;B-;roxo
Gabriela Natalia Gomes;25;827.498.826-48;38.660.019-3;10/01/1999;Feminino;Capricornio;Agatha Isabella;Vinicius Augusto Gomes;gabriela-gomes88@azulcargo.com.br;A7cuMYP08z;80030-050;Rua Ary Camargo Queiroz;959;Centro Civico;Curitiba;PR;(41) 2865-9687;(41) 99483-3038;1,68;68;B+;roxo
Gabrielly Silvana Cecilia Rezende;70;449.140.150-05;31.542.671-8;04/09/1954;Feminino;Virgem;Antonella Leticia Malu;Paulo Yuri Rezende;gabriellysilvanarezende@raninho.com.br;8JFOGRwFJR;78540-970;Avenida Marechal Candido Rondon 1382;150;Centro;Claudia;MT;(66) 3984-9625;(66) 99520-3747;1,56;83;B-;amarelo
Gabrielly Sonia da Rocha;73;214.572.781-70;11.632.427-2;04/10/1951;Feminino;Libra;Giovanna Kamilly;Benjamin Jorge da Rocha;gabrielly_sonia_darocha@mourafiorito.com;L7PppyqhUB;69099-505;Rua Sao Dinis;684;Cidade de Deus;Manaus;AM;(92) 3831-4989;(92) 98904-1844;1,78;57;B+;vermelho
Gael Gael Leonardo de Paula;33;546.555.442-87;18.955.477-0;21/07/1991;Masculino;Cancer;Alana Pietra;Rafael Pedro Julio de Paula;gael-depaula70@marketingvale.com.br;njfWeXLR70;40365-665;Travessa Doutor Aristides de Oliveira;620;Curuzu;Salvador;BA;(71) 2877-7905;(71) 98132-9376;1,92;104;B+;azul
Gael Marcos Vinicius Carvalho;61;760.235.932-16;40.675.239-4;06/03/1963;Masculino;Peixes;Sabrina Carolina Andrea;Marcio Kaue Theo Carvalho;gael_marcos_carvalho@mmetalica.com.br;WF2SuXbFfC;64017-390;Rua Tote Carvalho;898;Monte Castelo;Teresina;PI;(86) 2785-1903;(86) 98451-2686;1,67;67;B+;vermelho
Gael Rafael das Neves;55;431.833.007-96;10.585.044-5;09/10/1969;Masculino;Libra;Isabela Luiza Milena;Marcos Vinicius Jorge das Neves;gaelrafaeldasneves@ddfnet.com.br;hrfdmY2c6J;57015-586;Rua S;149;Vergel do Lago;Maceio;AL;(82) 3987-1593;(82) 98270-3078;1,85;109;A+;amarelo
Geraldo Felipe Lorenzo Farias;58;729.899.910-93;41.185.470-7;21/06/1966;Masculino;Cancer;Lorena Eloa Clarice;Renan Kaique Farias;geraldo_felipe_farias@revati.com.br;dpD3s3fW1D;77019-440;Quadra 1203 Sul Alameda 3;222;Plano Diretor Sul;Palmas;TO;(63) 3755-6466;(63) 98267-3176;1,76;88;A+;azul
Giovana Bianca Aparicio;36;725.142.402-98;41.005.286-3;18/05/1988;Feminino;Touro;Vanessa Antonia Stefany;Bernardo Renan Antonio Aparicio;giovana-aparicio98@agenciadbd.com;fUgq8ApwWB;36305-029;Rua aguas Limpas;802;Matozinhos;Sao Joao Del Rei;MG;(32) 2983-2981;(32) 98521-8368;1,6;45;O-;azul
Giovana Nair Alves;26;477.066.095-29;23.093.988-0;27/09/1998;Feminino;Libra;Cristiane Carolina Vera;Enrico Vinicius Alves;giovana_nair_alves@jammer.com.br;aDo9GfSbMo;68903-134;Rua A;202;Pedrinhas;Macapa;AP;(96) 2929-4957;(96) 98157-9663;1,54;70;AB+;verde
Giovanna Analu da Paz;70;946.343.085-76;31.607.221-7;27/03/1954;Feminino;aries;Helena Jennifer Jennifer;Leonardo Enrico da Paz;giovanna.analu.dapaz@live.co.uk;X0eMB1Xqtb;55293-410;Rua Doutor Osorio Souto;831;Santo Antonio;Garanhuns;PE;(87) 2996-8122;(87) 99385-3879;1,62;64;AB-;verde
Gustavo Carlos Eduardo Nicolas Duarte;67;967.297.483-38;17.609.650-4;01/03/1957;Masculino;Peixes;Sueli Mariah Regina;Raul Carlos Duarte;gustavocarlosduarte@renoveseuseguro.com;dmns21I2lW;29046-524;Beco Precateiro;543;Santa Martha;Vitoria;ES;(27) 3781-3354;(27) 98900-5115;1,79;54;AB-;preto
Hadassa Hadassa Moura;66;269.618.309-00;50.890.329-4;21/04/1958;Feminino;Touro;Flavia Jessica Mirella;Edson Luis Moura;hadassa-moura76@zigotto.com.br;N2NT3qYBQO;64011-626;Rua Dezenove;166;Aroeiras;Teresina;PI;(86) 3583-5452;(86) 99104-5251;1,84;45;B-;azul
Heitor Enrico Moraes;21;435.238.639-10;42.070.852-2;24/04/2003;Masculino;Touro;Luciana Milena;Raimundo Noah Mario Moraes;heitor.enrico.moraes@domain.com.br;D0a6ZqqwXx;35502-562;Rua Pedro Ferreira do Amaral;949;Padre Liberio;Divinopolis;MG;(37) 2912-9252;(37) 98165-1845;1,64;80;B-;preto
Helena Isabelle Rocha;75;455.576.168-53;23.448.611-9;04/04/1949;Feminino;aries;Maya Gabriela;Fabio Gael Rocha;helena.isabelle.rocha@racml.com.br;kTgJwke3jB;64013-220;Rua Gandu;175;Santa Maria da Codipe;Teresina;PI;(86) 3903-4066;(86) 99396-5575;1,65;53;O+;laranja
Helena Rosangela da Rosa;40;776.125.970-47;16.270.190-1;10/03/1984;Feminino;Peixes;Vera Alice;Edson Bruno da Rosa;helena-darosa74@hushmail.com;alqJMMgyBh;60441-720;Rua Coronel Nunes de Melo;922;Bela Vista;Fortaleza;CE;(85) 3663-6230;(85) 99812-0846;1,56;85;AB-;verde
Heloisa Teresinha Giovana Silva;74;884.897.967-00;15.231.413-1;16/02/1950;Feminino;Aquario;Cecilia Mariana;Benjamin Ruan Silva;heloisa_silva@mixfmmanaus.com.br;ZxGrjAGXFN;59139-425;Rua Enfermeira Carmelita Gomes;492;Lagoa Azul;Natal;RN;(84) 2767-5541;(84) 99639-9274;1,65;61;AB+;roxo
Heloisa Yasmin Raimunda Sales;34;143.571.433-49;25.581.839-7;11/04/1990;Feminino;aries;Josefa Elza Helena;Benjamin Pedro Henrique Sales;heloisa.yasmin.sales@araraquara.com.br;jfnLotksCf;79095-144;Rua Lagoa Bonita;543;Lagoa Park;Campo Grande;MS;(67) 3655-7936;(67) 98641-2187;1,53;52;O+;roxo
Hugo Anderson Elias Almada;51;367.453.247-68;38.728.130-7;20/04/1973;Masculino;aries;Emily Giovana Luna;Cesar Oliver Giovanni Almada;hugo_almada@biconsult.com.br;IbTojdAidb;99709-290;Avenida Sete de Setembro;776;Fatima;Erechim;RS;(54) 3569-6327;(54) 99952-4871;1,82;90;AB+;laranja
Iago Joao Tomas Moraes;79;909.325.888-59;10.880.466-5;15/01/1945;Masculino;Capricornio;Jaqueline Elaine;Alexandre Calebe Moraes;iago-moraes99@conexao.com;PdXNg0XRAr;49065-063;Travessa B;840;Industrial;Aracaju;SE;(79) 2951-3059;(79) 98740-8460;1,71;86;AB-;preto
Iago Sebastiao Matheus da Cunha;32;742.073.705-36;48.896.860-4;15/08/1992;Masculino;Leao;Luana Teresinha;Arthur Marcos Vinicius Emanuel da Cunha;iago_dacunha@valdulion.com.br;Q0NIuKW2eM;69313-482;Rua Maria Rodrigues dos Santos;991;Tancredo Neves;Boa Vista;RR;(95) 3591-2275;(95) 98109-0712;1,82;66;B+;roxo
Ian Bernardo das Neves;44;211.288.269-41;38.466.985-2;24/07/1980;Masculino;Leao;Elaine Marlene;Diogo Manuel das Neves;ian_dasneves@technicolor.com;QJ2LjqmHqw;27944-745;Rua Sao Judas;247;Jardim Vitoria;Macae;RJ;(22) 3733-8464;(22) 98538-5221;1,91;101;B+;vermelho
Ian Leandro Caio da Cruz;45;270.434.259-80;13.159.176-9;08/10/1979;Masculino;Libra;Teresinha Carolina;Carlos Eduardo Ruan Murilo da Cruz;ian-dacruz76@desari.com.br;lBw1pTAmZq;08461-440;Rua Jose da Silva Santos;998;Jardim Sao Paulo(Zona Leste);Sao Paulo;SP;(11) 2800-6257;(11) 98558-2599;2;66;B+;laranja
Igor Felipe Nathan Moura;19;365.779.637-11;20.830.349-2;12/02/2005;Masculino;Aquario;Silvana Sueli Marli;Alexandre Luan Moura;igorfelipemoura@tatyanecolo.com;Jw2w3f1Q4I;39401-405;Rua Quarenta e Sete;449;Ibituruna;Montes Claros;MG;(38) 2929-6753;(38) 99541-3951;1,64;102;A+;vermelho
Igor Isaac Yuri Corte Real;30;865.789.386-05;45.040.839-5;17/05/1994;Masculino;Touro;Mariane Bruna Nicole;Renan Julio Corte Real;igorisaaccortereal@centroin.com.br;6QUrmtbP3o;69914-374;Rua Cruzeiro do Sul;903;Calafate;Rio Branco;AC;(68) 3714-5166;(68) 99291-8188;1,84;63;O-;preto
Isaac Edson Peixoto;79;946.869.695-22;40.759.122-9;02/10/1945;Masculino;Libra;Marcia Eloa Antonella;Osvaldo Caio Theo Peixoto;isaac_edson_peixoto@recoferindustria.com.br;lMoSdxUg0a;74723-070;Avenida D;629;agua Branca;Goiania;GO;(62) 3750-6359;(62) 98286-2449;1,71;62;AB+;azul
Isaac Henry Vieira;21;409.943.868-69;17.642.351-5;12/05/2003;Masculino;Touro;Rayssa Emilly Emanuelly;Geraldo Ruan Juan Vieira;isaac-vieira74@trbvm.com;EUT3OMHoJ1;68906-182;Avenida Equador;328;Sao Jose;Macapa;AP;(96) 3562-2109;(96) 98362-8312;1,91;106;A+;azul
Isaac Tomas Mendes;73;750.509.615-05;44.673.807-4;04/10/1951;Masculino;Libra;Amanda Luzia Sara;Marcos Gael Danilo Mendes;isaac-mendes82@fanger.com.br;7K8dlPWqP6;69911-528;Travessa Itamarati;943;Joao Eduardo II;Rio Branco;AC;(68) 2523-8464;(68) 98804-3248;1,6;96;B-;amarelo
Isabelle Brenda Drumond;41;358.904.172-23;38.814.583-3;13/08/1983;Feminino;Leao;Laura Andreia Sabrina;Caleb Samuel Vitor Drumond;isabelle_brenda_drumond@hoatmail.com;uyT80DMHJs;58057-560;Rua Pedro alvares Cabral;761;Mangabeira;Joao Pessoa;PB;(83) 3763-2506;(83) 98636-0052;1,72;66;B-;verde
Isabelly Mariah Joana Pinto;35;408.682.057-96;32.193.258-4;01/10/1989;Feminino;Libra;Barbara Marlene Mariane;Ruan Eduardo Pinto;isabelly_pinto@zigotto.com.br;9WqktdIHSX;29047-465;Servidao Jaconias Augusto Marriel;675;Itarare;Vitoria;ES;(27) 2596-8717;(27) 98915-1718;1,68;52;A-;azul
Isabelly Tereza Goncalves;66;545.127.375-88;15.076.140-5;02/09/1958;Feminino;Virgem;Bianca Laura Lorena;Filipe Ian Giovanni Goncalves;isabelly_goncalves@easytechconsultoria.com.br;43Lg1819qE;78735-780;Rua Malta;484;Jardim Europa;Rondonopolis;MT;(66) 3728-8627;(66) 98794-9577;1,5;69;AB+;laranja
Jaqueline Luana Fogaca;80;276.341.314-58;43.771.369-6;12/06/1944;Feminino;Gemeos;Elaine Mariana Alana;Jorge Danilo Gabriel Fogaca;jaqueline-fogaca81@salera.com.br;f8G9wFZ69l;71699-677;Quadra QC 12 Rua G;671;Jardins Mangueiral (Sao Sebastiao);Brasilia;DF;(61) 2512-9330;(61) 98933-0438;1,71;59;O+;vermelho
Jaqueline Sarah da Rocha;75;913.631.282-72;15.837.792-8;22/07/1949;Feminino;Leao;Lucia Livia Larissa;Leandro Osvaldo da Rocha;jaquelinesarahdarocha@dbacomp.com.br;P4amRrixpL;49090-810;Rua Jose Armando Costa;497;Bugio;Aracaju;SE;(79) 3998-8726;(79) 99637-7353;1,65;62;O+;laranja
Jessica Lucia Oliveira;26;867.026.085-94;26.399.339-5;16/03/1998;Feminino;Peixes;Kamilly Antonia Elaine;Filipe Sergio Oliveira;jessica_oliveira@iedi.com.br;n5yBWAp1u3;22031-901;Rua Siqueira Campos 43;856;Copacabana;Rio de Janeiro;RJ;(21) 3589-4888;(21) 99813-7705;1,66;59;O+;preto
Jessica Valentina Fogaca;29;738.285.593-79;43.543.370-2;22/08/1995;Feminino;Leao;Isabelly Regina Evelyn;Yago Juan Fogaca;jessica_valentina_fogaca@gutembier.com.br;QTttjXRsO0;65058-661;Rua Um;176;Santa Clara;Sao Luis;MA;(98) 2759-9616;(98) 98942-5094;1,59;69;B-;laranja
Joana Sophia Cavalcanti;28;423.415.374-56;33.606.792-6;27/08/1996;Feminino;Virgem;Carolina Ayla;Kaue Manoel Cavalcanti;joanasophiacavalcanti@claro.com.br;9iLzdAsA5Q;25977-080;Rua Paraguai;591;Albuquerque;Teresopolis;RJ;(21) 3746-0183;(21) 98289-1321;1,71;83;A-;vermelho
Joao Alexandre Pietro Sales;76;706.087.846-72;21.343.618-8;22/06/1948;Masculino;Cancer;Andrea Esther Carla;Luan Paulo Sales;joao_sales@imoveisvillani.com.br;dHgCFeiaqM;25243-540;Rua Doutor Dantas;579;Chacaras Rio-Petropolis;Duque de Caxias;RJ;(21) 3753-4050;(21) 99473-9580;2;65;O+;verde
Joao Anderson Ruan de Paula;77;000.876.946-03;28.695.352-3;04/02/1947;Masculino;Aquario;Aparecida Rayssa Heloise;Nathan Murilo de Paula;joao-depaula89@directnet.com;lCDn7z2NBf;64037-160;Rua Mariano de Carvalho Brito;833;Portal da Alegria;Teresina;PI;(86) 2628-6634;(86) 99915-7610;1,75;50;A+;vermelho
Joao Bruno Martin Mendes;21;559.976.680-29;12.998.816-9;17/08/2003;Masculino;Leao;Sophia Alicia Melissa;Theo Pedro Mendes;joao-mendes97@velc.com.br;RgDsJd1bxN;69009-135;Rua Curuca;331;Puraquequara;Manaus;AM;(92) 2870-6543;(92) 98823-5112;1,74;105;A+;preto
Joaquim Cesar Rodrigues;32;416.534.084-72;13.439.412-4;07/04/1992;Masculino;aries;Teresinha Rosangela Agatha;Antonio Igor Jorge Rodrigues;joaquim.cesar.rodrigues@mv1.com.br;Tn6oTLzbXc;69058-116;Rua Barao de Lucena;337;Parque 10 de Novembro;Manaus;AM;(92) 2983-8512;(92) 99625-6773;1,62;87;B+;roxo
Joaquim Filipe Corte Real;71;005.523.174-89;15.467.984-7;25/04/1953;Masculino;Touro;Nina Malu;Ian Ruan Gabriel Corte Real;joaquim_filipe_cortereal@camarasjc.sp.gov.br;zkwbYWKWzG;57073-170;Rua Francisca Amelia de Santana;957;Cidade Universitaria;Maceio;AL;(82) 3782-7575;(82) 99686-3319;1,65;93;A-;verde
Joaquim Marcio Enrico Viana;27;413.143.865-81;19.691.927-7;01/01/1997;Masculino;Capricornio;Antonella Luzia Carolina;Fabio Fernando Viana;joaquim_marcio_viana@demasi.com.br;wtT0Mx3dJw;61930-285;Rua Novo Amanhecer;389;Cidade Nova;Maracanau;CE;(85) 3558-4694;(85) 99327-8236;2;69;A+;azul
Joaquim Theo da Rocha;34;494.695.253-53;43.315.439-1;08/09/1990;Masculino;Virgem;Stella Antonia Sueli;Ryan Manoel da Rocha;joaquim.theo.darocha@com.br;E8aA4GenKy;74884-580;Rua Lelia;604;Residencial Alphaville Flamboyant;Goiania;GO;(62) 2714-3856;(62) 98469-2818;1,64;58;A-;preto
Jorge Edson Luis Castro;46;511.351.867-07;11.109.842-7;23/06/1978;Masculino;Cancer;Olivia Sandra;Caio Bryan Luiz Castro;jorge_edson_castro@iss.com.br;nA15WBimMM;71570-817;Quadra Quadra 8 Conjunto Q;328;Paranoa;Brasilia;DF;(61) 2811-2361;(61) 99845-3974;1,81;61;B-;preto
Jorge Nelson Rocha;41;320.584.906-06;20.412.260-0;06/05/1983;Masculino;Touro;Valentina Sophie Isabelly;Miguel Eduardo Rocha;jorge-rocha82@sp.gov.br;jyg1ZyTahU;69038-073;Beco Final 10;291;Lirio do Vale;Manaus;AM;(92) 3534-4980;(92) 98823-9405;1,6;86;A-;roxo
Josefa Hadassa Elaine Barros;45;525.217.260-95;27.518.895-4;06/07/1979;Feminino;Cancer;Emanuelly Sarah;Francisco Juan Sebastiao Barros;josefahadassabarros@sobraer.com.br;jW2nCk7nFA;69312-282;Rua Lindolfo Bernardo Coutinho;636;Asa Branca;Boa Vista;RR;(95) 2870-1797;(95) 99237-5366;1,55;57;A-;laranja
Josefa Regina Hadassa Corte Real;41;024.857.333-09;12.882.372-0;23/02/1983;Feminino;Peixes;Emily Andrea;Samuel Lorenzo Lorenzo Corte Real;josefareginacortereal@reconciliare.com.br;aOq7SYKQe5;88911-406;Rua Existente 04;169;Morro dos Conventos;Ararangua;SC;(48) 2874-5464;(48) 98388-3430;1,64;49;O-;vermelho
Julia Emanuelly Santos;38;738.499.663-56;28.155.972-7;24/08/1986;Feminino;Virgem;Sandra Lais Sueli;Jorge Kevin Calebe Santos;julia_santos@jcffactoring.com.br;RKc3tlKhUr;69043-810;Rua Cailda Mello;736;Alvorada;Manaus;AM;(92) 3593-8536;(92) 98246-4904;1,56;58;B-;amarelo
Julia Luciana Sabrina Peixoto;62;787.207.690-08;38.485.800-4;14/01/1962;Feminino;Capricornio;Silvana Regina;Kaique Bento Peixoto;julia-peixoto82@andrediaz.com;jCKQ4kbXN7;59143-080;Rua Aproniano Sa;149;Vale do Sol;Parnamirim;RN;(84) 3871-6486;(84) 98173-9019;1,67;49;AB-;laranja
Juliana Adriana dos Santos;76;867.153.801-04;42.243.802-9;09/02/1948;Feminino;Aquario;Jennifer Isis;Caua Heitor Isaac dos Santos;julianaadrianadossantos@laramjeirabaumann.com.br;EJi4fXdaGA;59035-110;Rua Ipanema;783;Quintas;Natal;RN;(84) 2781-1690;(84) 99721-7060;1,84;70;A-;amarelo
Juliana Rafaela Vieira;66;164.187.540-26;25.337.757-2;14/09/1958;Feminino;Virgem;Catarina Allana Rosa;Oliver Joao Vieira;juliana_vieira@goldfinger.com.br;knQOZ4388C;60180-651;Rua Vinte e Dois de Abril;153;Cais do Porto;Fortaleza;CE;(85) 2741-8132;(85) 99808-3820;1,84;84;A-;azul
Julio Alexandre Dias;36;598.085.007-49;29.684.907-8;02/02/1988;Masculino;Aquario;Mariah Priscila Amanda;Vinicius Geraldo Dias;julio-dias70@kantoferramentaria.com.br;luZaM2YU0h;29306-785;Rua Juvenal Vailant;112;Nossa Senhora Aparecida;Cachoeiro de Itapemirim;ES;(28) 3661-9161;(28) 99497-3532;1,84;95;O-;preto
